origem;destino;dist_km;tempo;abast.;abast.lt.;consm.lbs;decea;tx.aerop.;comissaria;fbo;hospedagem;Transporte;slot;outros;comissoes;variável trip.;receita;com.terceiros
SBNF;SBBH;911,184;1,3;9735,55;1100;1640;588,36;763,34;;;;;;;289,5300368;546,7104;19302,00245;
SBBH;SBUL;596,344;0,9;9885,31;1803;1350;759,8;600,57;1038,4;860;;;;;227,0146858;357,8064;15134,31239;
SBUL;SBJU;1624,204;2,2;3925,09;560;2710;759,8;730,54;;;1105,66;220;;;618,2977623;981,8496361;41219,85082;
SBJU;SBUL;1789,032;2,4;15064,14;1590;3130;403,55;600,57;;860;;;;;681,0440575;2146,8384;45402,93716;
SBUL;SBBH;457,444;0,7;5584,36;828;1040;759,8;763,34;;;;;;;174,1385944;548,9328;11609,23963;
SBBH;SBGV;250,02;0,5;3190,93;582;714;759,8;532,66;300;395;1124,76;;;;164,7457627;150,012;10983,05085;
SBGV;SBBH;296,32;0,5;;;860;;763,34;;285;;;;;195,2542373;533,376;13016,94915;
SBBH;SBBI;1059,344;1,5;8224,05;1500;1910;759,8;668;359,4;380;;;;;336,6080915;635,6064;22440,53944;
SBBI;SBNF;338,916;0,7;;;890;759,8;668;;900;;;;;107,6910503;203,3496;7179,403351;
SBNF;SDAM;522,264;0,9;14160,8;1600;1340;588,36;485,99;;;;;;;165,950143;313,3584;11063,34287;
SDAM;SBBH;507,448;0,8;;;1180;;763,34;;;;;;;161,2423376;304,4688;10749,48917;
SBBH;SNGX;416,7;0,7;5488,18;1001;1040;759,8;;179,7;;;;;;194,7115385;474,3969231;12980,76923;
SNGX;SBBH;353,732;0,6;;;910;;763,34;;;;;;;165,2884615;424,4784;11019,23077;
SBBH;SSCN;1492,712;2;11552,05;2107;2420;759,8;;;700;;;;;762,240565;2686,8816;50816,03767;
SSCN;SBRJ;988,968;1,4;8596,65;771;1710;;725,89;;700;;;;;410,5973471;1780,1424;27373,15647;
SBRJ;SBFZ;2244,624;3;9592,9;1600;3580;759,8;573,39;;960;;;;;931,9175742;4040,3232;62127,83828;
SBFZ;SBVC;1281,584;1,7;15341,87;2001;2170;759,8;1224,51;;;;120;;;532,0849516;2306,8512;35472,33011;
SBVC;SBBH;751,912;1;2272,65;239;1490;403,55;763,34;;;;;;;312,1770092;871,7081491;20811,80061;
SBBH;SWXM;1737,176;2,3;8936,8;1630;2870;759,8;;599;;;80;;151,76;0;1042,3056;0,01;
SWXM;SBBH;1509,38;2,1;12160;1280;2430;;763,34;;;;80;;;0;905,628;0,01;
SBBH;SBSP;735,244;1,2;9051,94;1651;1490;759,8;730,68;100;3754;1012,46;;;;1956,187442;441,1464;20968,05171;1666,666667
SBSP;SBMK;851,92;1,3;7019,83;966;1700;900,15;600,57;670,4;425;491,95;;200;;2006,0988;770,13568;24295,47553;1666,666667
SBMK;SBBH;405,588;0,7;;;980;403,55;763,34;;;;;;;195,0989848;486,7056;13006,59898;
SBBH;SBUL;559,304;0,8;5961,24;1000;1280;759,8;600,57;179,7;;;;;;269,0406091;335,5824;17936,04061;
SBUL;SBBH;463;0,7;3117,63;448;1050;759,8;763,34;;;;;;;222,715736;555,6;14847,71574;
